,"Terrestrial ecotoxicity","Fossil resource scarcity","Marine ecotoxicity","Mineral resource scarcity","Terrestrial acidification","Global warming","Ozone formation, Terrestrial ecosystems","Fine particulate matter formation","Freshwater ecotoxicity","Ionizing radiation","Water consumption","Ozone formation, Human health","Human carcinogenic toxicity","Stratospheric ozone depletion","Freshwater eutrophication","Land use","Human non-carcinogenic toxicity","Marine eutrophication","Cumulative Energy Demand","H codes","Production cost",CAPEX,OPEX
"Category unit","kg 1,4-DCB","kg oil eq","kg 1,4-DCB","kg Cu eq","kg SO2 eq","kg CO2 eq","kg NOx eq","kg PM2.5 eq","kg 1,4-DCB","kBq Co-60 eq","m3 eq","kg NOx eq","kg 1,4-DCB","kg CFC11 eq","kg P eq","m2a crop eq","kg 1,4-DCB","kg N eq","MJ eq",,EUR,EUR,EUR
"Category shadow cost (EUR/category unit)",,,,,,1.025,,,,,,,,,,,,,,,,,
"Functional unit","per 1 kg","per 1 kg","per 1 kg","per 1 kg","per 1 kg","per 1 kg","per 1 kg","per 1 kg","per 1 kg","per 1 kg","per 1 kg","per 1 kg","per 1 kg","per 1 kg","per 1 kg","per 1 kg","per 1 kg","per 1 kg","per 1 kg",,"per 1 kg",,
Polyethylene,0.02194,1.56569,0.00879,0.00025,0.00528,2.08565,0.00452,0.00171,0.00645,0.00038,0.01375,0.00404,0.04363,6.15E-09,2.77E-05,0.0001,0.14124,3.36E-06,,,,,
"recycled PE (Product alternative)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Benzene,0.024298,0.2149,0.002114,0.000214,0.001149,2.117477,0.000427,0.000326,0.001034,0.032915,0.466164,0.00044,0.004268,2.55E-07,3.43E-05,0.000407,1.032986,4.55E-06,70.61718,,0.573522,,
"Diethyl ether (Product alternative)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Polypropylene,0.00326,0,3.34E-05,4.33E-07,0.00497,2.07,0.00102,0.000146,0.00014,0,0.03438,0.00063,2.16E-07,5.30E-15,0.00018,0,0.00094,9.12E-06,84.27911141,,0.8,,
"Bio Polypropylene (Valuechain alternative)",0.344971,0.00326,0.000835,6.89E-05,0.125071,2.368072,9.58E-05,0.005226,0.000333,0.157988,1.108623,6.19E-05,0.003947,1.10E-06,0.008096,2.288118,0.031282,8.50E-05,124.8008,,1.208632,,
"Mixed plastic waste (Valuechain alternative)",0.123206,0,0.000131,1.16E-05,0.001877,0.944468,1.71E-05,0.000664,3.54E-05,0.021446,0.006574,1.06E-05,0.000133,1.65E-07,7.79E-08,0.004835,0.006248,2.33E-06,19.14607,,0.363187,,
,,,,,,,,,,,,,,,,,,,,,,,
"Ethylene Glycol",0.100872,0,0.000274,7.17E-05,0.002574,2.476968,5.04E-05,0.00081,0.000112,0.041105,0.099287,3.12E-05,0.001451,4.08E-07,1.37E-06,2.29E-05,0.005449,2.20E-05,51.89431,,0.75117,,
"Sugar (Valuechain alternative)",0.019996,0.144277,0.001425,0.000139,0.033327,1.151506,0.000285,0.001091,0.000696,0.024459,0.403005,0.000294,0.002885,1.76E-07,0.002244,0.628045,0.693591,4.40E-06,39.9195,,0.347315,,
"Biomass (Valuechain alternative)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Ammonia,0.36562,0.739487,0.005646,0.000638,0.006337,3.683608,0.000855,0.002061,0.001413,0.090114,0.179388,0.00078,0.008187,1.28E-06,1.46E-05,0.003759,0.062203,4.22E-05,85.5853,,0.865574,,
"BioProcess (Process alternative)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"p-xylene ",,,,,,,,,,,,,,,,,,,,,,,
"BioProcess (Process alternative)",0.049899,0,0.000136,4.38E-05,0.001371,1.831914,2.84E-05,0.000433,5.54E-05,0.018183,0.058895,1.76E-05,0.000723,2.08E-07,7.91E-07,0.00014,0.002868,9.36E-06,76.34766,,0.776175,,
"Conventional 2 (Process alternative)",0.069725,0,0.000191,5.12E-05,0.006784,3.261493,3.56E-05,0.000567,7.78E-05,0.028314,0.255744,2.21E-05,0.676789,2.85E-07,0.000584,5.36E-07,0.003793,1.52E-05,102.693,,1.267047,,
,,,,,,,,,,,,,,,,,,,,,,,
PolyStyrene,0.00326,0,3.34E-05,4.33E-07,0.00497,2.07,0.00102,0.000146,0.00014,0,0.03438,0.00063,2.16E-07,5.30E-15,0.00018,0,0.00094,9.12E-06,,,,,
"Toluene/Methanol (Valuechain)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Polylactic acid",0.245490453,0,0.00062084,0.000122903,0.005600077,3.879267846,9.84E-05,0.001766074,0.000249466,0.103226638,0.262422786,6.09E-05,0.003165077,8.97E-07,2.53E-06,0.000514018,0.012440388,5.50E-05,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Cyclohexane,0.061274,0.494623,0.007116,0.000463,0.004517,2.937927,0.001206,0.001306,0.002501,0.076911,0.660565,0.001154,0.009716,6.12E-07,8.05E-05,0.001151,2.384573,1.45E-05,22.88287,,0.623599,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Acetone,,,,,,,,,,,,,,,,,,,,,,,
